# DTStamp_FHdata_calc_accn_t (tangential acceleration) 2023-06-03 17:32:16 607988703 
# N[1] rtime[2], u[3], u_next[4], curr_alpha[5], curr_beta[6], curr_norm_accn[7], min_tang_accn[8], curr_tang_accn[9], max_tang_accn[10] eps[11] rho[12] check_tang_accn[13] 
     0     0.000000  0.000000000  0.000137238  0.948683298  0.316227766  0.000000000000000000 -31.622776602   0.000000000  31.622776602  0.000000998900928   106.066017  0.000000000000000 
     1     0.001000  0.000137238  0.000137203  0.948657249  0.316305901  0.000000000000000000 -31.623644914  31.623644914  31.623644914  0.000000998541326   105.935077 31.623644914161940 
     2     0.002000  0.000274441  0.000137279  0.948631188  0.316384054  0.000000000000000000 -31.624513702  23.019043705  31.624513702  0.000000999774889   105.804301 23.019043704920250 
     3     0.003000  0.000411720  0.000137245  0.948605093  0.316462285  0.000000000000000000 -31.625383659  26.520723641  31.625383659  0.000000999413905   105.673585 26.520723640699849 
     4     0.004000  0.000548964  0.000137210  0.948578985  0.316540534  0.000000000000000000 -31.626254093  30.104881906  31.626254093  0.000000999051025   105.543033 30.104881905638340 
     5     0.005000  0.000686175  0.000137176  0.948552864  0.316618800  0.000000000000000000 -31.627125002  31.627125002  31.627125002  0.000000998686250   105.412645 31.627125002449961 
     6     0.006000  0.000823350  0.000137251  0.948526730  0.316697082  0.000000000000000000 -31.627996387  31.627996387  31.627996387  0.000000999920868   105.282421 31.627996387009034 
     7     0.007000  0.000960602  0.000137216  0.948500563  0.316775444  0.000000000000056843 -31.628868945  31.628868945  31.628868945  0.000000999554706   105.152258 31.628868945269417 
     8     0.008000  0.001097818  0.000137182  0.948474383  0.316853823  0.000000000000000000 -31.629741980  31.629741980  31.629741980  0.000000999186647   105.022258 31.629741979595561 
     9     0.009000  0.001235000  0.000137147  0.948448190  0.316932219  0.000000000000000000 -31.630615489  31.630615489  31.630615489  0.000000998816694   104.892422 31.630615489354234 
    10     0.010000  0.001372147  0.000137112  0.948421984  0.317010632  0.000000000000000000 -31.631489474  31.631489474  31.631489474  0.000000998444846   104.762750 31.631489473909539 
    11     0.011000  0.001509259  0.000137187  0.948395765  0.317089061  0.000000000000000000 -31.632363933  31.632363933  31.632363933  0.000000999679996   104.633242 31.632363932623011 
    12     0.012000  0.001646446  0.000137152  0.948369513  0.317167570  0.000000000000000000 -31.633239570  31.633239570  31.633239570  0.000000999306752   104.503793 31.633239570022802 
    13     0.013000  0.001783598  0.000137117  0.948343248  0.317246095  0.000000000000000000 -31.634115683  31.634115683  31.634115683  0.000000998931612   104.374508 31.634115682505215 
    14     0.014000  0.001920715  0.000137082  0.948316970  0.317324637  0.000000000000000000 -31.634992269  31.634992269  31.634992269  0.000000998554578   104.245387 31.634992269427389 
    15     0.015000  0.002057797  0.000137157  0.948290679  0.317403196  0.000000000000000000 -31.635869330  31.635869330  31.635869330  0.000000999790714   104.116430 31.635869330143858 
    16     0.016000  0.002194954  0.000137122  0.948264354  0.317481834  0.000000000000000000 -31.636747574  31.636747574  31.636747574  0.000000999412277   103.987532 31.636747573910736 
    17     0.017000  0.002332076  0.000137086  0.948238016  0.317560489 -0.000000000000056843 -31.637626292  31.637626292  31.637626292  0.000000999031945   103.858797 31.637626292393104 
    18     0.018000  0.002469162  0.000137050  0.948211666  0.317639160  0.000000000000000000 -31.638505485  31.638505485  31.638505485  0.000000998649718   103.730227 31.638505484941120 
    19     0.019000  0.002606212  0.000137126  0.948185303  0.317717848  0.000000000000000000 -31.639385151  31.639385151  31.639385151  0.000000999886812   103.601819 31.639385150902218 
    20     0.020000  0.002743338  0.000137090  0.948158906  0.317796616  0.000000000000000000 -31.640266004  31.640266004  31.640266004  0.000000999503176   103.473471 31.640266004278704 
    21     0.021000  0.002880428  0.000137054  0.948132496  0.317875400  0.000000000000000000 -31.641147332  31.641147332  31.641147332  0.000000999117645   103.345286 31.641147331986193 
    22     0.022000  0.003017482  0.000137018  0.948106074  0.317954200 -0.000000000000056843 -31.642029133  31.642029133  31.642029133  0.000000998730219   103.217265 31.642029133367661 
    23     0.023000  0.003154500  0.000137093  0.948079638  0.318033016  0.000000000000000000 -31.642911408  31.642911408  31.642911408  0.000000999968241   103.089407 31.642911407763567 
    24     0.024000  0.003291594  0.000137057  0.948053169  0.318111913 -0.000000000000056843 -31.643794874  31.643794874  31.643794874  0.000000999579401   102.961608 31.643794873940521 
    25     0.025000  0.003428651  0.000137021  0.948026686  0.318190826  0.000000000000056843 -31.644678814  31.644678814  31.644678814  0.000000999188664   102.833972 31.644678814046422 
    26     0.026000  0.003565672  0.000136985  0.948000192  0.318269755  0.000000000000000000 -31.645563227  31.645563227  31.645563227  0.000000998796034   102.706499 31.645563227417028 
    27     0.027000  0.003702657  0.000136948  0.947973684  0.318348700  0.000000000000000000 -31.646448113  31.646448113  31.646448113  0.000000998401509   102.579190 31.646448113385663 
    28     0.028000  0.003839605  0.000137023  0.947947164  0.318427661  0.000000000000000000 -31.647333471  31.647333471  31.647333471  0.000000999639890   102.452043 31.647333471282909 
    29     0.029000  0.003976628  0.000136987  0.947920609  0.318506702  0.000000000000000000 -31.648220026  31.648220026  31.648220026  0.000000999243943   102.324955 31.648220025928545 
    30     0.030000  0.004113615  0.000136950  0.947894042  0.318585759  0.000000000000000000 -31.649107053  31.649107053  31.649107053  0.000000998846101   102.198031 31.649107053410589 
    31     0.031000  0.004250565  0.000136913  0.947867462  0.318664832  0.000000000000000000 -31.649994553  31.649994553  31.649994553  0.000000998446365   102.071269 31.649994553055095 
    32     0.032000  0.004387478  0.000136989  0.947840869  0.318743920  0.000000000000000000 -31.650882524  31.650882524  31.650882524  0.000000999685603   101.944669 31.650882524185452 
    33     0.033000  0.004524467  0.000136952  0.947814242  0.318823090  0.000000000000000000 -31.651771696  31.651771696  31.651771696  0.000000999284439   101.818129 31.651771696425076 
    34     0.034000  0.004661419  0.000136915  0.947787602  0.318902275  0.000000000000056843 -31.652661341  31.652661341  31.652661341  0.000000998881380   101.691752 31.652661341054767 
    35     0.035000  0.004798333  0.000136877  0.947760950  0.318981475  0.000000000000000000 -31.653551457  31.653551457  31.653551457  0.000000998476427   101.565537 31.653551457393274 
    36     0.036000  0.004935210  0.000136953  0.947734285  0.319060692 -0.000000000000056843 -31.654442045  31.654442045  31.654442045  0.000000999716494   101.439484 31.654442044756763 
    37     0.037000  0.005072163  0.000136915  0.947707586  0.319139989  0.000000000000056843 -31.655333838  31.655333838  31.655333838  0.000000999310107   101.313491 31.655333837590486 
    38     0.038000  0.005209078  0.000136878  0.947680873  0.319219301 -0.000000000000056843 -31.656226102  31.656226102  31.656226102  0.000000998901825   101.187659 31.656226102349628 
    39     0.039000  0.005345956  0.000136840  0.947654149  0.319298629  0.000000000000000000 -31.657118838  31.657118838  31.657118838  0.000000998491651   101.061991 31.657118838345813 
    40     0.040000  0.005482797  0.000136916  0.947627411  0.319377973  0.000000000000000000 -31.658012045  31.658012045  31.658012045  0.000000999732515   100.936484 31.658012044887805 
    41     0.041000  0.005619712  0.000136878  0.947600639  0.319457397 -0.000000000000056843 -31.658906461  31.658906461  31.658906461  0.000000999320900   100.811036 31.658906461260695 
    42     0.042000  0.005756590  0.000136840  0.947573855  0.319536837  0.000000000000000000 -31.659801349  31.659801349  31.659801349  0.000000998907391   100.685751 31.659801349076165 
    43     0.043000  0.005893430  0.000136802  0.947547057  0.319616292  0.000000000000056843 -31.660696708  31.660696708  31.660696708  0.000000998491989   100.560627 31.660696707638344 
    44     0.044000  0.006030233  0.000136878  0.947520248  0.319695762 -0.000000000000056843 -31.661592536  31.661592536  31.661592536  0.000000999733622   100.435666 31.661592536248666 
